F/MHz,dB (252a),deg (252a),dB (252b),deg (252b),dB (254a),deg (254a),dB (254b),deg (254b),dB (255a),deg (255a),dB (255b),deg (255b),dB (256b),deg (256b)
36.232465,-32.65460593,-148.2460127,-43.04140216,-51.4681629,-30.43600777,-45.36932229,-38.63387952,-113.2709706,-38.96155045,-98.93650191,-30.66681404,-157.4745533,-39.45370516,-97.60058517
36.432866,-32.6318018,-154.4555721,-42.19240968,-51.38126373,-30.55991094,-43.9716738,-38.89512533,-121.2176158,-38.81788123,-97.72622069,-30.78825171,-155.930415,-39.348513,-98.69731714
36.633267,-32.27393654,-151.8148369,-42.97081703,-50.87001039,-30.79008757,-44.93597006,-40.37455623,-115.1438109,-38.95693563,-94.39974459,-30.24606523,-158.21273,-39.13446706,-96.3415328
36.833667,-32.4660977,-153.4002163,-43.12849743,-36.42707813,-30.82929414,-44.75653746,-40.89014369,-114.0423445,-40.24105103,-101.3913726,-30.58055099,-159.5698356,-40.05012842,-100.2491792
37.034068,-32.66827628,-156.0519733,-42.4249453,-34.19490063,-30.58496372,-46.04264533,-41.33922174,-116.6402927,-39.68483142,-97.26874468,-30.53484698,-158.7591867,-39.9537015,-96.22568659
37.234469,-32.48955821,-154.1537643,-43.76363673,-32.90951095,-30.6236109,-44.07539392,-42.37211611,-112.7193371,-39.21049396,-96.37386266,-30.60131674,-158.299763,-39.78125413,-95.64786543
37.43487,-32.77812138,-156.9254691,-41.74707741,-30.97428091,-30.73544991,-46.91687315,-41.43278986,-115.2014204,-40.09373287,-99.30319645,-30.54053611,-158.5769965,-41.1363925,-96.8657904
37.635271,-32.72194091,-155.1629947,-40.93801851,-36.26129208,-30.6781552,-44.39409293,-41.42500199,-113.9576471,-39.65105003,-98.18191909,-30.44510803,-159.290489,-39.62797885,-104.5441232
37.835671,-32.51799007,-153.2985556,-41.88340847,-37.96596285,-30.86445188,-42.95316351,-41.41724545,-112.1992163,-39.94251106,-97.20795053,-30.4301614,-158.2855986,-39.92941806,-98.07661984
38.036072,-33.14841373,-157.270228,-40.57409604,-31.07271827,-30.87995119,-43.24710888,-41.87596985,-111.7734298,-39.82646519,-95.10395981,-30.61926239,-157.2061934,-39.77942816,-98.85174233
38.236473,-32.80897216,-158.2862826,-41.24241906,-27.30768551,-31.07494346,-45.89768559,-42.63697946,-105.8890031,-40.12402392,-91.79237554,-30.12063988,-160.8657224,-40.66903998,-98.31950086
38.436874,-32.65207944,-155.4652733,-40.42566835,-31.2551574,-31.20585452,-43.52143862,-42.76673275,-96.15679458,-40.20835457,-93.15241458,-30.76034576,-159.8780094,-40.89735327,-102.8818785
38.637275,-33.52241328,-156.3388861,-41.61390332,-27.79183826,-31.08652453,-42.78757058,-42.52443053,-100.4476648,-39.53453004,-98.10779157,-30.44683067,-160.5047279,-39.70744476,-101.5646219
38.837675,-33.08489515,-155.5891274,-40.07051545,-28.89977337,-31.39629789,-44.21423004,-42.13892156,-103.0533163,-40.20467874,-94.77462989,-30.4192633,-162.6206441,-39.29549012,-104.591853
39.038076,-33.374096,-155.8930664,-39.20115514,-23.77547801,-31.19849958,-41.85024308,-41.99043784,-95.32623884,-39.55510608,-92.08823586,-30.46003735,-161.0594928,-40.31629103,-97.45358617
39.238477,-33.55908697,-156.8790251,-39.94557112,-25.92506909,-31.10953282,-43.7266221,-41.6127665,-101.8900101,-40.19491491,-91.88404491,-30.44614923,-162.2051565,-40.75725497,-99.39168205
39.438878,-33.31022438,-157.2602522,-39.32677201,-22.76465928,-31.13890037,-42.18271968,-40.77153576,-93.63708977,-38.92349647,-92.9696663,-30.45236296,-160.9176491,-39.58775618,-95.38238379
39.639279,-33.71234451,-157.5091816,-38.82140554,-28.29349849,-30.77944389,-43.12745469,-41.75288125,-102.3795112,-39.40020524,-86.5626486,-30.51345029,-162.04707,-39.39396093,-98.92603862
39.839679,-32.73848066,-157.3018605,-38.9362339,-30.22325637,-30.87562496,-43.0892729,-41.08479747,-94.4112953,-39.81826692,-94.48904531,-30.64819436,-161.3002113,-39.59580313,-103.724964
40.04008,-32.88608542,-155.1398982,-39.44710869,-29.27777573,-30.95716795,-42.05757361,-40.40243325,-89.576143,-39.54732112,-94.39748898,-30.4621542,-160.2720978,-39.34741477,-102.4841838
40.240481,-33.56416576,-156.5349821,-38.98324954,-27.9934206,-30.94050057,-41.19694718,-42.30596063,-89.17120915,-40.57030336,-93.74915376,-30.55358227,-161.3018889,-40.3689429,-101.0117308
40.440882,-33.54025573,-157.056302,-39.81060278,-33.72704815,-31.04184636,-40.0368918,-41.58479429,-84.42691183,-38.95736856,-92.00378515,-30.7294555,-162.1162651,-40.83231993,-101.869321
40.641283,-33.55908979,-156.3344844,-38.56204329,-31.80379425,-30.74213383,-40.66863312,-42.06928985,-90.02136423,-39.60337244,-85.48983792,-30.40589384,-160.3804119,-40.18406682,-95.99812138
40.841683,-33.38214079,-155.9156575,-38.7812128,-32.61668134,-31.07010485,-43.17716704,-40.48677495,-85.4170381,-39.75482872,-90.79189999,-30.57368409,-160.062099,-41.33774726,-101.0310717
41.042084,-33.35494746,-155.9774214,-38.32362209,-33.08785632,-30.78199786,-42.23168636,-42.66549306,-94.50720138,-40.17956315,-94.18727268,-30.24818218,-161.0381659,-39.36061909,-106.0816812
41.242485,-33.49637038,-149.6497632,-37.99272728,-29.06703747,-30.73886197,-44.36209104,-41.32891685,-90.3071895,-40.59345462,-87.33171722,-30.29912908,-161.6375011,-38.67266083,-101.7501898
41.442886,-33.08114845,-153.8225542,-37.03612428,-29.20454067,-30.87995998,-46.31685567,-40.69489371,-92.5214966,-40.06666418,-86.09969876,-30.27390828,-160.9389533,-39.20545421,-104.9120275
41.643287,-33.05257011,-154.9219963,-37.9216903,-35.52346335,-30.97503602,-45.38467287,-39.44830508,-79.63208533,-38.96348544,-95.96535724,-30.27290345,-162.1718894,-39.54026447,-103.9809313
41.843687,-33.2433925,-157.5514217,-38.00335545,-32.58115544,-30.71782782,-46.15043485,-39.25578126,-88.58645938,-39.73809707,-95.32424447,-30.19272626,-162.5486934,-39.5101064,-103.9521893
42.044088,-33.29919163,-152.8891909,-37.77483923,-32.28750526,-30.72811856,-45.32766007,-39.53749596,-89.94711182,-39.33869835,-89.07311447,-30.35672039,-162.0369314,-39.43597132,-103.0676935
42.244489,-33.10373918,-154.2878326,-37.52703281,-36.77247028,-30.96739322,-46.64246746,-39.44500415,-89.01323285,-39.16518606,-97.18552554,-30.39345798,-162.4675564,-39.00347981,-109.1985706
42.44489,-33.58070221,-154.1928467,-36.93864846,-32.56999768,-30.97505308,-45.57100739,-39.23435701,-86.33174754,-39.16662191,-88.37361933,-29.94386278,-163.9452231,-39.80922284,-107.1859169
42.645291,-32.71794225,-154.0550812,-37.45120263,-36.05715045,-30.46388384,-47.51304563,-39.61065125,-91.64106904,-39.22568154,-100.4944466,-30.14057908,-165.8224855,-39.18907746,-112.7032113
42.845691,-33.06014829,-153.8872393,-38.43131233,-41.75235194,-31.06849687,-48.56618442,-38.94981631,-88.70465364,-39.76483781,-95.34970082,-30.07897082,-163.8211918,-39.27145113,-104.6745065
43.046092,-32.81992327,-155.5077477,-36.85612282,-37.29336906,-30.70167771,-48.72787317,-39.49558567,-91.25468067,-39.10678292,-91.57260855,-29.75344972,-164.2892773,-39.6937117,-109.3488826
43.246493,-32.91534634,-154.1572609,-36.69647514,-37.39567092,-30.84783182,-48.23311738,-38.26510069,-91.04480048,-39.27514243,-93.26246885,-30.13551591,-164.3723957,-38.59702995,-111.2045199
43.446894,-33.11512329,-153.9861321,-37.13524734,-38.56046832,-31.02488972,-49.83846254,-38.06606568,-96.24726002,-38.97027095,-90.01819304,-30.02044354,-164.3841732,-39.22967902,-112.8894336
43.647295,-32.82423344,-156.4995912,-37.64406925,-43.39995767,-31.36632779,-49.96233068,-38.18210094,-91.8626497,-38.29117202,-102.0915954,-29.76189166,-163.9404886,-39.2592262,-113.1502708
43.847695,-32.5608697,-153.0973928,-38.28955157,-45.56707662,-30.78873375,-50.98725042,-38.38588704,-91.33839778,-38.71553741,-98.0791141,-29.58025866,-165.2063491,-38.0726141,-112.749928
44.048096,-32.75703097,-154.4776957,-38.77482046,-49.48720833,-30.94493168,-52.96936573,-38.27432353,-99.0944024,-38.84360427,-95.96612707,-29.64252682,-166.4093277,-38.95249705,-116.879045
44.248497,-32.79143695,-156.1734917,-37.3202169,-40.50945495,-30.91032591,-51.92355124,-38.32498758,-92.3409773,-38.83768417,-96.02639042,-29.81381734,-166.045691,-38.33101777,-117.7829906
44.448898,-32.50424843,-153.5222605,-38.11327217,-44.88007478,-31.15697886,-52.47654473,-37.39316703,-94.36652262,-39.25649605,-103.9452376,-29.77911899,-165.2162335,-38.85296892,-120.0381952
44.649299,-32.26156086,-157.5824678,-37.5707485,-46.62980522,-31.16793888,-53.46056492,-38.03929273,-98.61552806,-39.01649478,-100.8579716,-29.45347144,-166.1013131,-38.19135535,-120.8656831
44.849699,-32.20300108,-155.8597799,-37.42763637,-47.23016603,-31.1160791,-54.20242826,-37.73470319,-96.34473007,-38.04413207,-97.17600797,-29.3050845,-166.5509121,-38.85047119,-120.3780698
45.0501,-32.86245208,-155.951032,-37.64797162,-46.90144923,-31.44038939,-55.37280592,-37.41142622,-101.7096968,-38.42806665,-107.1612025,-29.6084566,-167.0875232,-37.51922502,-121.5264241
45.250501,-32.45995899,-154.7141583,-37.68620288,-43.72040416,-31.33033197,-52.71495586,-37.90100795,-101.3658484,-38.16225009,-106.927502,-29.34098717,-166.9368415,-37.72542641,-118.72646
45.450902,-32.14196807,-156.1023497,-37.03484463,-42.95364975,-31.44972538,-54.6446168,-37.94588501,-102.6733907,-38.8106309,-106.3453426,-29.40934838,-167.9340704,-38.72614341,-124.6871106
45.651303,-31.98754692,-157.58478,-37.26115416,-44.80557625,-31.77600329,-55.77798061,-37.06142801,-105.7958576,-39.38939085,-104.7033567,-29.1311598,-168.8641658,-38.63767042,-127.6093712
45.851703,-31.89606071,-154.0710306,-37.70792442,-50.88148864,-31.65889331,-56.58577254,-37.70237249,-106.7490162,-38.15448688,-111.7708177,-29.17813871,-169.4261497,-38.50748581,-128.0461858
46.052104,-31.86605463,-158.7617885,-37.94111127,-48.12948452,-32.17634863,-57.35313355,-37.54523688,-102.0552239,-37.84718837,-108.3239693,-29.35936577,-169.3253201,-38.4889586,-126.5679921
46.252505,-32.09430944,-159.0536393,-38.28931702,-48.88582609,-32.27061086,-60.41467707,-36.97041041,-108.6010386,-38.49369394,-111.1147706,-29.28907926,-171.0473601,-39.04379184,-129.4732721
46.452906,-32.01580958,-158.2362837,-38.17402256,-50.97166028,-32.36735574,-60.24953237,-37.65830784,-112.1909051,-38.42777956,-109.6068093,-29.01465408,-171.4890994,-39.61548,-127.8924055
46.653307,-31.80259747,-163.3247806,-37.50297759,-52.56773434,-32.73072701,-61.37051818,-38.08633652,-114.017789,-38.2798564,-112.5712455,-28.8983323,-171.5009679,-38.19609528,-131.0347565
46.853707,-31.67504953,-159.695361,-38.93948732,-50.99910974,-32.39377776,-59.05977676,-36.9962832,-106.4587755,-39.15461625,-114.513608,-29.00805163,-173.2067723,-38.10209555,-133.8285775
47.054108,-31.41959223,-159.7842056,-38.76661196,-50.98990629,-32.58117114,-60.0300746,-37.41273713,-116.4901768,-38.47898778,-118.1627613,-28.86548287,-171.6578776,-38.16182899,-135.5198845
