F/MHz,S11 (dB),S11 (deg),S21 (dB),S21 (deg),S22 (dB),S22 (deg)
58.015,-36.06909231,86.1587202,-0.359530778,-185.8850885,-46.36345557,-24.96438814
58.51,-36.18430418,84.00085067,-0.361995142,-187.4485357,-45.24233553,-27.16305248
59.005,-35.99578447,79.23085136,-0.364382605,-189.012459,-44.7324336,-25.14567249
59.5,-36.06407235,76.63509407,-0.364740087,-190.5977412,-44.13727163,-25.38666492
59.995,-35.98376928,72.80497825,-0.368424331,-192.1635695,-43.09339596,-29.08513349
60.49,-35.97290183,68.75826702,-0.367821196,-193.733196,-42.76120104,-27.29473107
60.985,-36.13838534,66.12731814,-0.369181266,-195.3130052,-42.18377259,-28.66357992
61.48,-35.9724664,61.62535836,-0.371712835,-196.8792393,-41.67204634,-29.29811688
61.975,-35.8307038,58.17899618,-0.372333886,-198.46388,-40.95174281,-31.54801431
62.47,-36.05435276,54.27319646,-0.375724008,-200.0311878,-40.72016316,-30.34736598
62.965,-35.8018063,49.84574414,-0.376631088,-201.6142709,-40.34429654,-32.12062556
63.46,-35.79105192,46.92566643,-0.377670591,-203.1894877,-39.92290917,-33.60121847
63.955,-35.65284371,44.74364864,-0.378985175,-204.7563784,-38.93609747,-37.05556644
64.45,-35.7359465,39.96643801,-0.380844159,-206.3355975,-39.05280083,-34.59510177
64.945,-35.72256646,37.4005254,-0.382631049,-207.9087581,-38.6226038,-35.12394784
65.44,-35.52483155,33.80590816,-0.384309592,-209.480804,-38.61366413,-39.90890957
65.935,-35.62346192,30.44755665,-0.38464907,-211.0603859,-37.98665647,-41.47809449
66.43,-35.49263318,26.38521821,-0.386770793,-212.6367482,-37.70672896,-40.43932225
66.925,-35.56873194,23.8082362,-0.389081932,-214.2026667,-37.37918411,-40.9745357
67.42,-35.29854273,19.81937668,-0.38988778,-215.7810533,-37.06114391,-44.68577323
67.915,-35.44652983,16.37919527,-0.390420471,-217.3490221,-37.0406104,-45.4098111
68.41,-35.33905399,12.93042669,-0.393195406,-218.9339303,-36.59135022,-46.57676351
68.905,-35.34991754,9.863949488,-0.395945649,-220.5104001,-36.32997738,-47.26565406
69.4,-35.23553895,6.647580745,-0.396311139,-222.0752953,-36.04323666,-48.72506043
69.895,-35.12402693,3.509426189,-0.396233591,-223.6527512,-35.63574845,-49.48759945
70.39,-35.13482127,-0.898463056,-0.399871595,-225.2259885,-35.57421087,-52.8307904
70.885,-35.04857058,-3.431668457,-0.400064482,-226.800247,-35.22344124,-52.55713436
71.38,-35.06889084,-7.20033167,-0.402037904,-228.3695263,-35.29797555,-55.18829951
71.875,-35.0264193,-10.33923685,-0.403033499,-229.9544387,-34.84904821,-55.04974812
72.37,-35.10106112,-14.12183676,-0.405836874,-231.531492,-34.78915199,-56.6346013
72.865,-34.83934978,-16.50479918,-0.405214121,-233.1044522,-34.67293157,-57.94847698
73.36,-34.9188962,-20.54055286,-0.407538267,-234.6710028,-34.59328975,-60.44378606
73.855,-34.84748426,-23.39125704,-0.408211903,-236.24971,-34.31532247,-60.11951632
74.35,-34.85783104,-26.98026156,-0.410449931,-237.8217444,-34.30986304,-61.73637843
74.845,-34.82609976,-30.42671885,-0.411191994,-239.392721,-34.26817857,-62.98444118
75.34,-34.6046978,-33.41336806,-0.412414134,-240.9633641,-33.89334326,-65.71371502
75.835,-34.65778964,-36.93711455,-0.413336812,-242.5438166,-33.93801191,-66.63481595
76.33,-34.5852414,-39.93710182,-0.414740609,-244.1172689,-33.62753317,-67.43957506
76.825,-34.6279088,-43.5961753,-0.416417726,-245.6930497,-33.78776168,-69.47061864
77.32,-34.53858266,-47.00743195,-0.417014819,-247.2752735,-33.59943143,-70.39448066
77.815,-34.51162347,-50.23452272,-0.420366453,-248.8419511,-33.55533148,-72.74861628
78.31,-34.43568178,-53.20367318,-0.420597326,-250.4104141,-33.36710984,-73.79610115
78.805,-34.43769387,-56.3246227,-0.421580774,-251.9989623,-33.2442713,-74.23783484
