!CSV A.01.01
!Agilent Technologies,N5224A,MY51441013,A.09.40.06
!Agilent N5224A: A.09.40.06
!Date: Monday, July 02, 2018 12:05:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
78000000,-0.033086322,-125.85535
78500000,-0.034071639,-126.259
79000000,-0.034886837,-126.63846
79500000,-0.034656297,-127.04366
80000000,-0.033071466,-127.39426
80500000,-0.038457651,-127.7791
81000000,-0.036464661,-128.17183
81500000,-0.035339158,-128.56892
82000000,-0.039438963,-128.93117
82500000,-0.036876429,-129.27002
83000000,-0.042509861,-129.6319
83500000,-0.037447318,-129.99277
84000000,-0.041158509,-130.3609
84500000,-0.040474683,-130.74081
85000000,-0.042409144,-131.08975
85500000,-0.039619643,-131.43311
86000000,-0.040816832,-131.77408
86500000,-0.040687993,-132.12961
87000000,-0.042592227,-132.48788
87500000,-0.040333085,-132.83282
88000000,-0.046196412,-133.17128
88500000,-0.043297213,-133.49953
89000000,-0.04680939,-133.82436
89500000,-0.045294899,-134.17735
90000000,-0.040767875,-134.48825
90500000,-0.041454948,-134.83162
91000000,-0.046275903,-135.13477
91500000,-0.044640943,-135.49533
92000000,-0.043787908,-135.76813
92500000,-0.045008451,-136.09866
93000000,-0.044892471,-136.43362
93500000,-0.048415646,-136.74197
94000000,-0.043369044,-137.04262
94500000,-0.050027642,-137.37775
95000000,-0.04646169,-137.66772
95500000,-0.049935844,-137.97549
96000000,-0.0504953,-138.27768
96500000,-0.050444983,-138.59044
97000000,-0.047116414,-138.89864
97500000,-0.050939545,-139.18117
98000000,-0.052895781,-139.48146
98500000,-0.046332229,-139.80025
99000000,-0.051774114,-140.07924
99500000,-0.051056258,-140.3428
100000000,-0.049698908,-140.65695
100500000,-0.048716158,-140.91786
101000000,-0.055795401,-141.22185
101500000,-0.051418517,-141.53757
102000000,-0.052153461,-141.79909
102500000,-0.052827086,-142.1125
103000000,-0.054922052,-142.37257
103500000,-0.053297527,-142.62605
104000000,-0.052396607,-142.93643
104500000,-0.054098595,-143.19498
105000000,-0.056186613,-143.45313
105500000,-0.054959513,-143.71065
106000000,-0.055119209,-143.99503
106500000,-0.053759828,-144.2536
107000000,-0.050954644,-144.51732
107500000,-0.058522388,-144.80177
108000000,-0.0568767,-145.06387
108500000,-0.058703262,-145.31163
109000000,-0.057291713,-145.57045
109500000,-0.059000041,-145.84137
110000000,-0.056255281,-146.10219
END

